accelX,accelY,accelZ,label
0.349,-0.253,0.116,0
0.4,-0.013,-0.383,0
0.51,0.154,-0.494,0
0.691,0.4,-0.398,0
0.836,0.448,0.195,0
0.928,0.346,0.926,0
0.987,0.259,1.626,0
1.267,0.137,2.207,0
1.577,0.127,2.978,0
1.589,0.306,2.924,0
1.217,0.604,2.352,0
0.925,0.679,0.738,0
0.835,0.598,-0.043,0
0.441,0.444,0.163,0
-0.176,0.621,0.802,1
-0.426,0.863,0.789,1
-0.34,1.183,0.699,1
0.014,1.622,0.313,1
0.382,1.576,0.19,1
0.352,1.579,0.187,1
1.335,0.272,1.384,1
1.253,-0.504,2.725,1
0.768,-0.95,3.128,1
0.063,-1.327,2.856,1
-0.52,-1.37,1.939,1
-1.028,-1.439,0.815,1
-1.298,-1.351,0.356,1
-1.07,-1.112,0.259,1
-0.626,-0.869,0.371,1
-0.082,-0.682,0.478,1
0.189,-0.707,0.526,1
0.34,-0.82,0.299,1
0.457,-0.927,0.133,1
0.677,-0.961,-0.478,1
0.82,-0.864,-1.069,1
0.894,-0.782,-1.83,0
0.939,-0.608,-2.504,0
0.99,-0.399,-3.017,0
1.059,-0.208,-3.104,0
1.043,-0.088,-2.638,0
0.756,-0.194,-1.993,0
0.349,-0.398,-1.332,0
-0.01,-0.511,-0.796,0
-0.21,-0.474,-0.797,0
-0.221,-0.374,-1.157,0
-0.136,-0.132,-1.79,0
0.143,0.15,-2.336,0
0.315,0.383,-2.589,0
0.295,0.426,-2.442,0
0.254,0.372,-2.113,0
0.167,0.301,-1.759,0
0.159,0.314,-1.763,0
0.173,0.031,-0.295,0
-0.087,-0.203,0.497,0
-0.333,-0.316,0.749,0
-0.312,-0.19,0.433,0
-0.12,0.061,0.115,0
0.248,0.444,-0.162,0
0.453,0.692,-0.399,0
0.592,0.854,-0.433,0
0.952,0.961,-0.239,0
1.011,1.002,0.155,0
0.819,0.968,0.637,0
0.683,0.91,1.011,0
